Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID92413,92413,0,3.341,170.540,61.096,0,0,0,7.500,1,-10921639,86.855,39,14,255,35871,86.645,7.074,0.564,0.723
ID92489,92489,0,3.599,168.358,58.412,0,30,1,7.500,1,-10921639,92.627,38,13,255,38255,91.997,7.275,0.590,0.747
ID92239,92239,0,3.727,166.999,56.047,0,60,2,7.500,1,-10921639,94.608,37,12,255,39073,94.774,7.381,0.605,0.752
ID92329,92329,0,4.051,166.608,53.976,0,90,3,7.500,1,-10921639,104.627,46,12,255,43211,100.269,7.753,0.633,0.809
ID92374,92374,0,3.944,165.687,55.409,0,120,4,7.500,1,-10921639,101.044,41,11,255,41731,99.942,7.574,0.621,0.775
ID92164,92164,0,3.950,164.751,59.804,0,150,5,7.500,1,-10921639,101.458,43,9,255,41902,99.576,7.621,0.624,0.783
ID92288,92288,0,3.946,164.503,64.477,0,180,6,7.500,1,-10921639,101.499,41,12,255,41919,99.139,7.641,0.623,0.786
ID92201,92201,0,3.919,164.812,68.671,0,210,7,7.500,1,-10921639,100.971,39,12,255,41701,98.763,7.558,0.618,0.781
ID92540,92540,0,3.898,164.812,72.240,0,240,8,7.500,1,-10921639,100.685,40,12,255,41583,98.639,7.553,0.609,0.773
ID92577,92577,0,3.940,164.548,75.981,0,270,9,7.500,1,-10921639,100.959,42,13,255,41696,99.326,7.728,0.620,0.778
ID92614,92614,0,3.929,164.577,78.940,0,300,10,7.500,1,-10921639,100.712,41,11,255,41594,98.034,7.614,0.625,0.790
ID92455,92455,0,3.913,164.746,81.696,0,330,11,7.500,1,-10921639,99.969,41,11,255,41287,98.056,7.598,0.628,0.787
ID92931,92931,0,3.874,165.156,83.929,0,360,12,7.500,1,-10921639,98.797,43,12,255,40803,97.263,7.500,0.625,0.782
ID92691,92691,0,3.822,165.383,85.358,0,390,13,7.500,1,-10921639,96.341,39,11,255,39789,96.821,7.450,0.624,0.764
ID92654,92654,0,3.781,165.610,86.365,0,420,14,7.500,1,-10921639,96.240,43,11,255,39747,95.673,7.508,0.623,0.772
ID92729,92729,0,3.751,165.717,87.602,0,450,15,7.500,1,-10921639,94.983,40,10,255,39228,95.998,7.413,0.625,0.761
ID92811,92811,0,3.759,165.948,88.282,0,480,16,7.500,1,-10921639,95.012,40,9,255,39240,95.620,7.427,0.626,0.765
ID92851,92851,0,3.721,166.294,88.876,0,510,17,7.500,1,-10921639,93.552,40,10,255,38637,94.932,7.366,0.628,0.760
ID92771,92771,0,3.720,166.281,89.302,0,540,18,7.500,1,-10921639,93.448,38,9,255,38594,94.878,7.397,0.628,0.760
ID92970,92970,0,3.704,166.456,89.859,0,570,19,7.500,1,-10921639,92.981,42,10,255,38401,94.552,7.343,0.623,0.755
ID93046,93046,0,3.669,166.444,90.252,0,600,20,7.500,1,-10921639,92.467,40,10,255,38189,94.606,7.304,0.617,0.746
ID92892,92892,0,3.687,166.352,90.617,0,630,21,7.500,1,-10921639,93.148,39,11,255,38470,93.937,7.385,0.626,0.764
ID93087,93087,0,3.629,166.089,91.091,0,660,22,7.500,1,-10921639,90.949,38,12,255,37562,93.038,7.310,0.619,0.747
ID93011,93011,0,3.654,165.832,91.375,0,690,23,7.500,1,-10921639,91.809,40,11,255,37917,93.699,7.302,0.617,0.748
ID93123,93123,0,3.594,165.466,91.941,0,720,24,7.500,1,-10921639,90.743,38,11,255,37477,92.465,7.281,0.611,0.744
ID93200,93200,0,3.585,165.195,92.347,0,750,25,7.500,1,-10921639,90.579,39,11,255,37409,93.569,7.268,0.603,0.729
ID93158,93158,0,3.494,164.804,92.906,0,780,26,7.500,1,-10921639,90.492,41,11,255,37373,92.969,7.260,0.563,0.701
ID93381,93381,0,3.496,164.711,93.204,0,810,27,7.500,1,-10921639,90.542,40,10,255,37394,92.818,7.267,0.560,0.700
ID93304,93304,0,3.488,164.484,93.386,0,840,28,7.500,1,-10921639,90.225,39,12,255,37263,92.808,7.243,0.555,0.694
ID93270,93270,0,3.552,164.320,93.275,0,870,29,7.500,1,-10921639,91.448,41,11,255,37768,92.741,7.295,0.598,0.738
ID93456,93456,0,3.495,164.030,93.887,0,900,30,7.500,1,-10921639,90.034,39,11,255,37184,92.081,7.242,0.578,0.716
ID93419,93419,0,3.522,163.818,94.098,0,930,31,7.500,1,-10921639,89.777,38,12,255,37078,92.423,7.240,0.602,0.730
ID93234,93234,0,3.532,163.661,94.239,0,960,32,7.500,1,-10921639,89.199,37,10,255,36839,92.243,7.221,0.614,0.736
ID93342,93342,0,3.580,163.440,94.603,0,990,33,7.500,1,-10921639,90.155,38,13,255,37234,92.677,7.261,0.621,0.745
ID93495,93495,0,3.581,163.220,94.923,0,1020,34,7.500,1,-10921639,89.755,36,10,255,37069,93.080,7.259,0.616,0.735
ID93531,93531,0,3.553,162.932,95.010,0,1050,35,7.500,1,-10921639,89.600,37,12,255,37005,92.642,7.243,0.617,0.738
ID93567,93567,0,3.575,162.367,94.918,0,1080,36,7.500,1,-10921639,89.847,38,12,255,37107,93.456,7.254,0.615,0.732
ID93637,93637,0,3.550,161.831,95.206,0,1110,37,7.500,1,-10921639,91.492,40,12,255,37786,93.378,7.281,0.585,0.723
ID93673,93673,0,3.477,161.371,95.524,0,1140,38,7.500,1,-10921639,89.864,37,11,255,37114,92.939,7.244,0.560,0.694
