Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID23936,23936,0,0.849,110.213,250.068,0,0,0,12.500,1,-10921639,105.920,72,3,255,113652,86.587,11.022,0.333,0.611
ID23656,23656,0,0.750,107.090,252.478,0,30,1,12.500,1,-10921639,100.317,53,3,255,107640,90.539,15.876,0.395,0.628
ID23591,23591,0,0.750,105.668,247.941,0,60,2,12.500,1,-10921639,76.164,37,3,255,81724,85.618,10.321,0.369,0.480
ID23719,23719,0,0.788,104.660,245.822,0,90,3,12.500,1,-10921639,71.533,33,3,255,76755,83.466,10.427,0.404,0.493
ID23623,23623,0,0.754,103.795,244.238,0,120,4,12.500,1,-10921639,70.158,27,3,255,75280,84.474,8.143,0.408,0.481
ID23847,23847,0,0.741,102.755,244.689,0,150,5,12.500,1,-10921639,73.579,25,3,255,78950,89.515,9.133,0.432,0.496
ID23813,23813,0,0.789,101.458,246.590,0,180,6,12.500,1,-10921639,78.747,26,3,255,84495,93.163,10.022,0.468,0.539
ID23876,23876,0,0.776,100.866,247.065,0,210,7,12.500,1,-10921639,77.226,35,3,255,82863,89.243,9.553,0.417,0.510
ID23684,23684,0,0.778,101.346,247.891,0,240,8,12.500,1,-10921639,77.778,39,2,255,83456,86.864,9.664,0.416,0.526
ID23782,23782,0,0.934,101.612,250.824,0,270,9,12.500,1,-10921639,96.061,61,3,255,103073,90.631,14.872,0.514,0.720
ID23909,23909,0,0.967,99.802,251.294,0,300,10,12.500,1,-10921639,94.840,58,3,255,101763,91.949,14.253,0.554,0.736
ID23752,23752,0,0.725,96.057,250.306,0,330,11,12.500,1,-10921639,83.573,34,3,255,89674,93.042,14.801,0.453,0.560
ID23937,23937,1,1.034,135.211,249.846,0,0,0,12.500,1,-10921639,142.920,137,7,255,153353,90.895,14.546,0.265,0.658
ID23654,23654,1,1.113,135.872,249.284,0,30,1,12.500,1,-10921639,143.385,143,7,255,153852,88.881,14.649,0.328,0.796
ID23593,23593,1,1.140,136.029,249.200,0,60,2,12.500,1,-10921639,140.167,136,7,255,150399,88.176,14.702,0.358,0.838
ID23721,23721,1,1.155,136.100,248.637,0,90,3,12.500,1,-10921639,137.719,133,8,255,147772,88.095,14.753,0.365,0.836
ID23625,23625,1,1.186,136.326,248.250,0,120,4,12.500,1,-10921639,138.128,138,7,255,148211,89.801,14.910,0.377,0.842
ID23849,23849,1,1.215,136.395,248.055,0,150,5,12.500,1,-10921639,141.607,143,8,255,151944,87.868,14.923,0.398,0.917
ID23815,23815,1,1.203,137.073,248.350,0,180,6,12.500,1,-10921639,139.673,133,5,255,149869,84.668,14.580,0.399,0.940
ID23878,23878,1,1.197,137.840,248.499,0,210,7,12.500,1,-10921639,138.062,122,6,255,148140,85.089,14.386,0.392,0.914
ID23686,23686,1,1.181,138.885,249.093,0,240,8,12.500,1,-10921639,134.700,120,7,255,144533,85.862,14.610,0.385,0.873
ID23781,23781,1,1.187,139.327,248.974,0,270,9,12.500,1,-10921639,130.094,117,6,255,139591,88.421,14.283,0.389,0.824
ID23907,23907,1,1.122,139.771,248.640,0,300,10,12.500,1,-10921639,124.855,113,6,255,133969,87.894,47.500,0.358,0.748
ID23750,23750,1,1.029,139.287,248.756,0,330,11,12.500,1,-10921639,120.656,107,5,255,129464,87.833,14.263,0.333,0.687
ID24106,24106,1,1.030,138.860,249.306,0,360,12,12.500,1,-10921639,117.817,104,4,255,126418,87.330,12.507,0.347,0.696
