Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID271,271,0,3.369,261.638,129.032,0,180,6,7.500,1,-10921639,172.022,255,10,255,71045,96.020,19.073,0.355,0.940
ID711,711,0,3.536,258.447,128.773,0,210,7,7.500,1,-10921639,152.196,142,11,255,62857,95.153,7.639,0.372,0.868
ID200,200,0,3.844,258.573,128.753,0,240,8,7.500,1,-10921639,150.600,139,9,255,62198,92.901,7.848,0.448,1.003
ID473,473,0,4.023,258.963,127.653,0,270,9,7.500,1,-10921639,147.576,130,11,255,60949,94.659,8.173,0.471,0.999
ID769,769,0,4.262,258.722,127.229,0,300,10,7.500,1,-10921639,148.816,131,12,255,61461,95.328,8.583,0.516,1.062
ID397,397,0,4.266,257.461,127.920,0,330,11,7.500,1,-10921639,155.194,143,12,255,64095,92.981,8.011,0.528,1.153
ID1439,1439,0,4.326,254.296,130.456,0,360,12,7.500,1,-10921639,164.758,161,14,255,68045,87.297,11.663,0.542,1.327
ID1351,1351,0,4.349,253.823,130.353,0,390,13,7.500,1,-10921639,169.165,184,18,255,69865,87.685,11.897,0.541,1.355
ID1029,1029,0,4.371,253.910,129.754,0,420,14,7.500,1,-10921639,170.695,176,19,255,70497,84.119,11.874,0.535,1.414
ID840,840,0,4.246,255.194,129.533,0,450,15,7.500,1,-10921639,164.145,178,17,255,67792,90.686,8.760,0.479,1.173
ID1355,1355,0,4.142,256.138,129.803,0,480,16,7.500,1,-10921639,169.726,190,18,255,70097,86.681,11.775,0.455,1.225
ID1280,1280,0,4.668,256.598,134.762,0,510,17,7.500,1,-10921639,199.918,255,28,255,82566,73.563,11.960,0.542,1.910
ID1155,1155,0,4.598,255.843,136.704,0,540,18,7.500,1,-10921639,200.446,255,25,255,82784,73.492,11.955,0.529,1.887
ID904,904,0,4.688,256.543,137.414,0,570,19,7.500,1,-10921639,206.271,255,24,255,85190,72.263,12.017,0.541,2.005
