Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID47811,47811,0,0.767,346.961,69.449,0,0,0,12.500,1,-10921639,57.034,19,0,255,61198,78.564,8.937,0.720,0.608
ID47446,47446,0,0.810,347.373,69.728,0,30,1,12.500,1,-10921639,57.956,19,0,255,62187,80.334,9.836,0.728,0.608
ID47729,47729,0,0.912,349.208,70.599,0,60,2,12.500,1,-10921639,62.817,23,0,255,67403,81.245,14.726,0.818,0.696
ID47570,47570,0,0.938,352.255,69.717,0,90,3,12.500,1,-10921639,57.038,14,0,255,61202,82.024,15.345,0.790,0.614
ID47404,47404,0,0.919,353.555,69.189,0,120,4,12.500,1,-10921639,51.189,11,0,255,54926,79.030,19.585,0.769,0.563
ID47488,47488,0,1.212,353.555,69.881,0,150,5,12.500,1,-10921639,60.250,14,0,255,64648,81.259,14.857,0.830,0.673
ID47529,47529,0,1.105,353.555,69.881,0,180,6,12.500,1,-10921639,54.595,11,0,255,58580,80.553,16.475,0.746,0.579
ID47651,47651,0,1.044,353.555,71.264,0,210,7,12.500,1,-10921639,54.536,12,0,255,58517,81.406,18.919,0.754,0.576
ID47770,47770,0,1.092,353.555,73.340,0,240,8,12.500,1,-10921639,58.173,16,0,255,62420,83.644,15.745,0.695,0.570
ID47855,47855,0,1.073,353.555,73.340,0,270,9,12.500,1,-10921639,60.550,15,0,255,64970,85.244,15.199,0.606,0.536
ID47611,47611,0,1.079,353.555,74.724,0,300,10,12.500,1,-10921639,60.302,13,0,255,64704,85.832,14.647,0.546,0.496
ID47693,47693,0,1.065,353.555,76.800,0,330,11,12.500,1,-10921639,60.692,12,0,255,65123,87.969,9.449,0.472,0.442
ID47896,47896,0,1.111,353.555,77.491,0,360,12,12.500,1,-10921639,65.720,14,0,255,70518,90.373,10.279,0.520,0.497
ID48015,48015,0,1.029,353.555,77.491,0,390,13,12.500,1,-10921639,66.324,13,0,255,71166,90.831,10.007,0.466,0.464
