Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID40768,40768,0,0.631,131.569,260.615,0,0,0,12.500,1,-10921639,40.799,9,2,255,43777,66.128,8.268,0.562,0.444
ID40544,40544,0,0.543,131.298,256.888,0,30,1,12.500,1,-10921639,37.382,8,1,255,40111,60.518,41.423,0.448,0.382
ID40738,40738,0,0.722,125.286,264.365,0,60,2,12.500,1,-10921639,42.567,8,1,255,45674,67.848,9.096,0.691,0.513
ID40795,40795,0,0.648,129.273,263.926,0,90,3,12.500,1,-10921639,38.808,7,2,255,41641,65.992,8.226,0.534,0.410
ID40824,40824,0,0.755,130.977,263.751,0,120,4,12.500,1,-10921639,45.606,9,1,255,48935,70.469,9.527,0.581,0.476
ID40599,40599,0,0.752,126.166,259.298,0,150,5,12.500,1,-10921639,46.148,10,2,255,49517,65.296,9.257,0.730,0.597
ID40655,40655,0,0.661,127.586,256.764,0,180,6,12.500,1,-10921639,39.822,9,2,255,42729,63.464,8.256,0.672,0.504
ID40569,40569,0,0.623,129.251,254.529,0,210,7,12.500,1,-10921639,39.679,8,2,255,42576,61.190,8.662,0.583,0.478
ID40627,40627,0,0.578,128.866,255.361,0,240,8,12.500,1,-10921639,37.463,8,1,255,40198,58.025,9.161,0.572,0.470
ID40852,40852,0,0.619,130.378,259.753,0,270,9,12.500,1,-10921639,39.752,10,2,249,42654,56.581,9.228,0.617,0.536
ID40707,40707,0,0.611,132.413,264.710,0,300,10,12.500,1,-10921639,37.437,11,1,252,40170,56.008,9.186,0.679,0.541
ID40680,40680,0,0.531,131.604,265.291,0,330,11,12.500,1,-10921639,32.596,8,2,233,34975,50.785,7.508,0.692,0.525
ID40970,40970,0,0.529,130.045,264.630,0,360,12,12.500,1,-10921639,34.875,9,2,200,37421,46.699,8.165,0.716,0.623
ID40874,40874,0,0.581,133.724,261.279,0,390,13,12.500,1,-10921639,37.359,12,2,231,40086,53.202,9.612,0.718,0.587
ID40922,40922,0,0.588,131.937,261.130,0,420,14,12.500,1,-10921639,36.359,10,2,255,39013,57.953,8.234,0.693,0.514
ID40997,40997,0,0.580,131.750,262.438,0,450,15,12.500,1,-10921639,36.024,11,2,249,38654,55.506,9.312,0.696,0.533
ID40899,40899,0,0.583,132.311,261.662,0,480,16,12.500,1,-10921639,35.922,8,2,255,38544,55.235,9.588,0.688,0.530
