Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID50688,50688,0,3.365,248.248,293.748,0,0,0,7.500,1,-10921639,131.540,99,26,255,54326,85.672,7.579,0.420,0.908
ID50753,50753,0,3.144,246.037,293.563,0,30,1,7.500,1,-10921639,117.538,61,28,255,48543,90.267,7.330,0.355,0.682
ID50451,50451,0,2.846,242.918,292.115,0,60,2,7.500,1,-10921639,109.518,63,29,255,45231,81.783,7.157,0.306,0.628
ID51054,51054,0,2.524,238.743,289.093,0,90,3,7.500,1,-10921639,100.799,61,24,255,41630,72.468,4.985,0.356,0.730
ID50995,50995,0,2.529,237.057,287.859,0,120,4,7.500,1,-10921639,92.041,54,22,255,38013,68.395,7.302,0.401,0.770
ID50512,50512,0,1.749,236.856,286.803,0,150,5,7.500,1,-10921639,65.562,42,24,238,27077,52.099,4.868,0.300,0.581
ID50689,50689,1,2.809,174.773,297.558,0,0,0,7.500,1,-10921639,148.998,130,33,255,61536,80.779,11.396,0.276,0.798
ID50755,50755,1,3.246,177.322,297.156,0,30,1,7.500,1,-10921639,161.271,168,27,255,66605,85.792,8.357,0.341,0.956
ID50450,50450,1,3.265,175.940,292.030,0,60,2,7.500,1,-10921639,141.143,115,31,255,58292,83.813,7.818,0.331,0.838
ID51053,51053,1,3.329,178.430,288.180,0,90,3,7.500,1,-10921639,131.973,85,32,255,54505,89.676,7.609,0.370,0.794
ID50994,50994,1,2.821,179.181,284.371,0,120,4,7.500,1,-10921639,104.501,53,30,255,43159,88.578,7.175,0.277,0.512
ID50511,50511,1,2.845,178.128,283.221,0,150,5,7.500,1,-10921639,109.346,54,27,255,45160,89.327,5.172,0.312,0.582
ID50628,50628,1,2.666,178.907,281.658,0,180,6,7.500,1,-10921639,103.010,51,30,255,42543,87.008,5.073,0.293,0.537
ID50690,50690,2,2.045,193.637,299.978,0,0,0,7.500,1,-10921639,111.114,60,26,255,45890,87.402,4.847,0.153,0.338
ID50756,50756,2,1.806,195.526,299.589,0,30,1,7.500,1,-10921639,106.630,56,23,255,44038,87.168,4.901,0.094,0.210
ID50453,50453,2,2.110,195.938,294.102,0,60,2,7.500,1,-10921639,112.506,63,24,255,46465,87.214,4.922,0.157,0.350
ID51055,51055,2,1.808,199.598,289.610,0,90,3,7.500,1,-10921639,104.823,56,22,255,43292,85.654,4.832,0.148,0.315
ID50996,50996,2,1.840,201.078,289.570,0,120,4,7.500,1,-10921639,84.588,46,21,255,34935,77.647,4.825,0.203,0.368
ID50691,50691,3,3.727,211.796,301.230,0,0,0,7.500,1,-10921639,139.140,111,25,255,57465,86.948,7.802,0.436,0.971
ID50757,50757,3,3.597,212.621,300.158,0,30,1,7.500,1,-10921639,134.976,87,27,255,55745,89.911,7.527,0.429,0.902
ID50454,50454,3,3.384,213.850,295.571,0,60,2,7.500,1,-10921639,128.852,78,25,255,53216,90.950,7.359,0.401,0.812
ID51056,51056,3,3.158,214.523,291.122,0,90,3,7.500,1,-10921639,125.889,79,22,255,51992,89.846,7.467,0.395,0.793
ID50692,50692,4,4.023,300.716,300.969,0,0,0,7.500,1,-10921639,134.586,98,29,255,55584,88.990,8.281,0.497,1.004
ID50758,50758,4,3.842,297.299,301.008,0,30,1,7.500,1,-10921639,135.501,100,32,255,55962,85.205,7.779,0.499,1.059
ID50455,50455,4,3.385,302.277,299.066,0,60,2,7.500,1,-10921639,120.768,84,23,255,49877,80.730,7.687,0.431,0.901
