Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID195,195,0,1.122,134.442,225.779,0,270,9,12.500,1,-10921639,132.993,122,6,255,142702,85.265,47.500,0.456,0.977
ID110,110,0,1.150,131.925,226.465,0,300,10,12.500,1,-10921639,121.094,107,6,255,129934,86.339,15.354,0.437,0.852
ID320,320,0,1.197,131.409,226.289,0,330,11,12.500,1,-10921639,121.738,107,6,255,130625,90.127,15.304,0.482,0.879
ID567,567,0,1.251,131.728,226.535,0,360,12,12.500,1,-10921639,124.540,111,5,255,133631,92.558,10.559,0.507,0.906
ID607,607,0,1.215,131.630,224.712,0,390,13,12.500,1,-10921639,120.435,108,4,255,129227,92.295,14.769,0.533,0.907
ID644,644,0,1.094,131.035,222.681,0,420,14,12.500,1,-10921639,102.593,55,4,255,110082,96.026,14.357,0.516,0.727
ID804,804,0,0.938,130.561,221.568,0,450,15,12.500,1,-10921639,80.877,30,4,255,86781,93.664,11.421,0.379,0.474
ID685,685,0,0.936,130.447,221.745,0,480,16,12.500,1,-10921639,75.005,25,3,255,80480,92.434,10.360,0.351,0.421
ID1005,1005,0,0.964,130.081,222.641,0,510,17,12.500,1,-10921639,76.253,30,4,255,81820,90.761,10.229,0.404,0.483
ID846,846,0,0.982,130.356,223.336,0,540,18,12.500,1,-10921639,75.816,27,4,255,81351,92.241,10.197,0.413,0.480
ID966,966,0,0.946,131.059,223.618,0,570,19,12.500,1,-10921639,72.932,19,3,255,78256,94.918,10.071,0.355,0.403
ID765,765,0,1.006,131.062,224.239,0,600,20,12.500,1,-10921639,76.630,22,3,255,82224,96.423,10.496,0.409,0.461
ID727,727,0,1.090,130.223,223.866,0,630,21,12.500,1,-10921639,86.228,38,4,255,92523,94.973,12.321,0.478,0.587
ID883,883,0,1.090,130.111,222.292,0,660,22,12.500,1,-10921639,88.706,47,4,255,95182,92.426,11.874,0.519,0.656
ID924,924,0,1.128,129.559,221.337,0,690,23,12.500,1,-10921639,96.228,57,3,255,103253,92.153,10.796,0.535,0.728
ID1081,1081,0,0.994,128.223,219.838,0,720,24,12.500,1,-10921639,89.179,47,4,255,95689,90.018,14.312,0.507,0.666
ID1117,1117,0,0.970,121.073,215.770,0,750,25,12.500,1,-10921639,98.592,54,4,255,105789,95.041,24.528,0.532,0.720
ID1042,1042,0,0.901,119.606,214.421,0,780,26,12.500,1,-10921639,81.381,36,4,255,87322,89.482,37.288,0.396,0.516
ID1235,1235,0,0.872,120.290,216.226,0,810,27,12.500,1,-10921639,84.382,40,5,255,90542,89.926,37.158,0.400,0.536
ID1275,1275,0,0.954,120.998,219.460,0,840,28,12.500,1,-10921639,96.063,52,4,255,103076,92.949,13.781,0.485,0.675
ID1157,1157,0,1.043,122.541,222.645,0,870,29,12.500,1,-10921639,110.905,72,4,255,119001,97.188,19.885,0.635,0.886
ID1197,1197,0,1.257,123.046,224.787,0,900,30,12.500,1,-10921639,115.852,72,4,255,124309,97.769,19.440,0.711,0.985
ID1317,1317,0,1.301,121.577,226.429,0,930,31,12.500,1,-10921639,103.376,58,6,255,110922,94.885,14.694,0.663,0.869
ID1357,1357,0,1.315,121.758,227.277,0,960,32,12.500,1,-10921639,102.752,59,4,255,110253,93.311,14.522,0.667,0.881
ID1396,1396,0,1.289,122.447,228.627,0,990,33,12.500,1,-10921639,95.259,49,5,255,102213,94.962,11.129,0.682,0.814
ID1512,1512,0,1.447,124.065,230.599,0,1020,34,12.500,1,-10921639,109.212,57,6,255,117185,100.742,14.143,0.699,0.892
ID1435,1435,0,1.491,125.141,232.165,0,1050,35,12.500,1,-10921639,117.818,69,6,255,126419,102.931,14.672,0.691,0.935
ID1473,1473,0,1.497,125.659,233.986,0,1080,36,12.500,1,-10921639,124.598,83,6,255,133694,102.520,15.117,0.682,0.985
ID1586,1586,0,1.468,126.022,236.789,0,1110,37,12.500,1,-10921639,127.912,98,6,255,137250,102.629,14.767,0.635,0.969
ID1549,1549,0,1.311,125.633,238.592,0,1140,38,12.500,1,-10921639,120.340,76,4,255,129125,104.257,14.210,0.573,0.841
ID1698,1698,0,1.198,125.180,238.475,0,1170,39,12.500,1,-10921639,109.181,63,4,255,117151,100.010,14.085,0.532,0.758
ID1735,1735,0,1.130,124.830,238.610,0,1200,40,12.500,1,-10921639,97.682,47,4,255,104813,97.403,14.046,0.504,0.673
ID1662,1662,0,1.099,124.986,238.429,0,1230,41,12.500,1,-10921639,91.270,37,5,255,97933,97.153,13.979,0.496,0.623
ID1626,1626,0,1.084,124.505,239.820,0,1260,42,12.500,1,-10921639,85.756,34,4,255,92016,93.854,10.318,0.488,0.599
ID1772,1772,0,1.036,124.551,241.992,0,1290,43,12.500,1,-10921639,77.944,27,4,255,83634,91.975,47.500,0.468,0.540
ID1810,1810,0,1.062,125.132,242.980,0,1320,44,12.500,1,-10921639,78.445,26,3,255,84172,92.926,10.384,0.517,0.575
ID1853,1853,0,1.107,126.100,243.431,0,1350,45,12.500,1,-10921639,81.675,28,4,255,87637,94.022,10.697,0.575,0.634
ID1931,1931,0,1.134,127.954,244.969,0,1380,46,12.500,1,-10921639,83.582,33,4,255,89684,94.012,10.726,0.601,0.667
ID1968,1968,0,1.155,128.976,245.733,0,1410,47,12.500,1,-10921639,88.436,39,3,255,94892,93.563,10.689,0.608,0.715
ID2131,2131,0,1.200,130.153,245.911,0,1440,48,12.500,1,-10921639,92.531,51,4,255,99286,92.561,11.181,0.590,0.742
ID2049,2049,0,1.205,132.392,246.595,0,1470,49,12.500,1,-10921639,93.974,46,3,255,100834,93.843,12.544,0.573,0.729
ID2008,2008,0,1.221,132.655,247.285,0,1500,50,12.500,1,-10921639,95.576,52,4,255,102553,93.690,12.152,0.593,0.760
ID1895,1895,0,1.203,133.268,247.658,0,1530,51,12.500,1,-10921639,96.896,49,3,255,103969,94.885,10.517,0.609,0.773
ID2215,2215,0,1.196,133.558,248.950,0,1560,52,12.500,1,-10921639,98.432,49,4,255,105618,97.918,15.364,0.681,0.814
ID2093,2093,0,1.042,133.188,248.587,0,1590,53,12.500,1,-10921639,88.424,37,4,255,94879,94.428,15.690,0.651,0.738
ID2170,2170,0,1.084,133.430,248.718,0,1620,54,12.500,1,-10921639,92.386,44,3,255,99130,93.526,14.873,0.654,0.781
ID2254,2254,0,1.035,134.208,249.176,0,1650,55,12.500,1,-10921639,85.260,33,3,255,91484,92.523,11.575,0.598,0.690
ID2294,2294,0,0.963,135.001,249.178,0,1680,56,12.500,1,-10921639,75.322,30,4,255,80820,87.400,10.343,0.510,0.582
ID2338,2338,0,1.004,137.769,249.792,0,1710,57,12.500,1,-10921639,83.211,38,3,255,89285,89.072,10.740,0.556,0.668
ID2421,2421,0,1.048,139.437,250.353,0,1740,58,12.500,1,-10921639,91.192,54,3,255,97849,87.506,14.764,0.633,0.808
ID2379,2379,0,0.895,145.073,253.704,0,1770,59,12.500,1,-10921639,87.115,76,3,255,93474,72.555,15.566,0.613,0.912
ID2542,2542,0,0.817,148.871,254.990,0,1800,60,12.500,1,-10921639,82.104,73,3,255,88098,61.719,15.240,0.535,0.928
ID2461,2461,0,0.752,150.653,255.536,0,1830,61,12.500,1,-10921639,78.875,67,4,255,84633,59.135,14.934,0.475,0.859
ID2583,2583,0,0.695,151.970,255.652,0,1860,62,12.500,1,-10921639,75.476,61,3,255,80986,59.016,14.562,0.436,0.777
ID2656,2656,0,0.685,152.843,255.068,0,1890,63,12.500,1,-10921639,73.515,58,4,255,78882,59.426,14.639,0.414,0.724
ID2500,2500,0,0.666,153.163,254.637,0,1920,64,12.500,1,-10921639,73.739,61,5,255,79122,58.411,15.047,0.410,0.735
ID2694,2694,0,0.591,154.586,255.043,0,1950,65,12.500,1,-10921639,71.301,60,5,255,76506,56.110,14.845,0.361,0.674
ID2732,2732,0,0.604,156.894,256.676,0,1980,66,12.500,1,-10921639,71.596,57,4,255,76822,58.338,10.630,0.311,0.582
ID2616,2616,0,0.563,158.102,256.352,0,2010,67,12.500,1,-10921639,70.411,49,4,255,75551,63.775,14.039,0.297,0.505
ID240,240,1,1.184,131.988,242.678,0,0,0,12.500,1,-10921639,124.586,111,4,255,133681,88.252,19.589,0.655,1.117
ID155,155,1,1.019,133.001,233.328,0,30,1,12.500,1,-10921639,103.920,86,6,255,111506,76.596,15.709,0.511,0.917
ID440,440,1,1.029,131.759,226.529,0,60,2,12.500,1,-10921639,111.308,99,6,255,119433,80.440,25.643,0.579,1.014
ID521,521,1,1.219,132.953,225.351,0,90,3,12.500,1,-10921639,115.482,93,6,255,123912,84.825,36.567,0.605,1.027
ID480,480,1,1.246,133.868,225.788,0,120,4,12.500,1,-10921639,114.339,100,6,255,122686,85.239,13.890,0.620,1.027
ID277,277,1,1.154,134.017,226.175,0,150,5,12.500,1,-10921639,113.328,95,5,255,121601,85.972,15.613,0.581,0.968
ID359,359,1,1.108,135.043,226.051,0,180,6,12.500,1,-10921639,132.080,126,6,255,141722,83.545,33.590,0.530,1.096
ID70,70,1,1.322,140.932,225.787,0,210,7,12.500,1,-10921639,157.771,175,5,255,169288,92.470,20.500,0.636,1.327
ID402,402,1,1.319,143.581,226.554,0,240,8,12.500,1,-10921639,155.869,177,5,255,167247,95.233,24.094,0.596,1.222
ID197,197,1,1.203,149.052,230.210,0,270,9,12.500,1,-10921639,127.672,102,6,255,136992,97.595,14.742,0.376,0.715
ID112,112,1,1.153,151.850,230.303,0,300,10,12.500,1,-10921639,118.336,76,5,255,126975,99.872,14.304,0.276,0.512
ID321,321,1,1.103,154.258,227.655,0,330,11,12.500,1,-10921639,113.911,61,5,255,122226,98.795,14.323,0.252,0.465
ID566,566,1,1.061,155.411,225.540,0,360,12,12.500,1,-10921639,110.705,56,5,255,118786,99.150,14.091,0.234,0.424
ID606,606,1,1.053,157.242,222.736,0,390,13,12.500,1,-10921639,109.121,56,5,255,117087,98.324,13.999,0.238,0.427
ID643,643,1,1.035,159.291,221.633,0,420,14,12.500,1,-10921639,111.086,66,5,255,119195,93.141,13.348,0.268,0.504
ID806,806,1,1.085,158.717,223.136,0,450,15,12.500,1,-10921639,121.546,93,5,255,130419,88.890,13.538,0.281,0.600
ID686,686,1,1.182,159.492,222.496,0,480,16,12.500,1,-10921639,131.129,109,6,255,140701,88.330,14.101,0.362,0.789
ID1002,1002,1,1.355,161.695,219.152,0,510,17,12.500,1,-10921639,141.362,131,6,255,151681,89.858,14.144,0.531,1.091
ID843,843,1,1.130,160.159,216.426,0,540,18,12.500,1,-10921639,120.125,107,7,255,128894,85.063,14.316,0.451,0.878
ID963,963,1,1.138,158.459,215.609,0,570,19,12.500,1,-10921639,122.758,105,6,255,131719,87.205,14.643,0.422,0.836
ID763,763,1,1.163,158.690,214.926,0,600,20,12.500,1,-10921639,121.611,106,5,255,130489,89.356,14.007,0.406,0.786
ID724,724,1,1.091,158.438,213.737,0,630,21,12.500,1,-10921639,114.021,95,4,255,122345,88.769,14.195,0.371,0.695
ID881,881,1,0.975,161.543,212.518,0,660,22,12.500,1,-10921639,107.225,90,6,255,115052,85.535,10.456,0.345,0.643
ID921,921,1,0.795,162.175,210.467,0,690,23,12.500,1,-10921639,96.820,84,6,255,103888,79.276,14.034,0.272,0.523
ID1079,1079,1,0.786,162.153,208.824,0,720,24,12.500,1,-10921639,96.315,82,4,255,103346,79.196,10.090,0.276,0.526
ID1115,1115,1,0.881,162.963,209.116,0,750,25,12.500,1,-10921639,103.721,93,6,255,111293,80.695,10.393,0.308,0.605
ID1040,1040,1,0.926,164.685,210.294,0,780,26,12.500,1,-10921639,111.131,97,7,255,119244,79.937,14.317,0.341,0.708
ID1233,1233,1,0.940,165.415,211.547,0,810,27,12.500,1,-10921639,113.824,97,7,255,122133,80.429,14.651,0.340,0.717
ID1273,1273,1,0.919,166.609,211.626,0,840,28,12.500,1,-10921639,119.962,110,7,255,128719,78.857,19.785,0.358,0.802
ID1154,1154,1,0.687,165.223,209.589,0,870,29,12.500,1,-10921639,103.779,90,5,255,111355,76.035,47.500,0.247,0.541
ID1193,1193,1,0.680,163.676,208.328,0,900,30,12.500,1,-10921639,97.431,77,6,255,104543,77.311,45.013,0.256,0.513
ID1310,1310,1,0.731,162.982,206.519,0,930,31,12.500,1,-10921639,98.907,75,7,255,106127,77.071,13.904,0.324,0.628
ID1351,1351,1,0.662,163.716,206.640,0,960,32,12.500,1,-10921639,93.831,73,6,255,100681,73.053,15.058,0.316,0.617
ID1391,1391,1,0.573,161.692,208.707,0,990,33,12.500,1,-10921639,78.229,59,4,255,83940,60.275,47.500,0.240,0.502
ID239,239,2,0.659,248.172,230.118,0,0,0,12.500,1,-10921639,103.733,79,5,255,111306,81.420,47.500,0.352,0.663
ID154,154,2,0.753,245.388,229.584,0,30,1,12.500,1,-10921639,99.328,73,5,255,106579,82.317,47.500,0.301,0.558
ID441,441,2,0.712,244.203,228.651,0,60,2,12.500,1,-10921639,96.371,74,6,255,103406,77.224,15.188,0.329,0.618
ID522,522,2,0.677,243.618,228.743,0,90,3,12.500,1,-10921639,92.925,68,5,255,99709,76.434,47.500,0.307,0.571
ID481,481,2,0.653,242.722,228.340,0,120,4,12.500,1,-10921639,95.176,81,5,255,102124,72.637,14.931,0.286,0.583
ID278,278,2,0.641,241.078,228.826,0,150,5,12.500,1,-10921639,94.664,74,6,255,101574,74.731,47.500,0.254,0.513
ID360,360,2,0.583,240.451,231.788,0,180,6,12.500,1,-10921639,95.902,76,6,255,102903,75.965,42.317,0.215,0.447
ID401,401,2,0.670,241.619,223.451,0,240,8,12.500,1,-10921639,104.680,97,5,255,112322,70.830,20.189,0.468,0.942
ID196,196,2,0.566,241.428,227.848,0,270,9,12.500,1,-10921639,96.576,79,6,255,103626,79.533,19.178,0.313,0.579
ID111,111,2,0.535,243.552,229.935,0,300,10,12.500,1,-10921639,76.345,38,6,255,81918,77.087,47.500,0.116,0.206
ID322,322,2,0.573,245.836,230.611,0,330,11,12.500,1,-10921639,84.055,49,5,255,90191,81.656,47.500,0.172,0.303
ID568,568,2,0.534,243.977,230.277,0,360,12,12.500,1,-10921639,79.844,38,5,255,85673,82.417,44.371,0.144,0.244
ID645,645,2,0.619,239.865,230.056,0,420,14,12.500,1,-10921639,67.603,21,3,255,72538,82.229,9.970,0.129,0.187
ID809,809,2,0.638,240.935,231.180,0,450,15,12.500,1,-10921639,67.913,16,4,255,72871,83.747,9.271,0.174,0.240
ID689,689,2,0.702,242.102,231.027,0,480,16,12.500,1,-10921639,73.540,28,3,255,78908,81.486,9.051,0.278,0.392
ID1007,1007,2,0.732,242.886,229.050,0,510,17,12.500,1,-10921639,72.245,28,4,255,77519,80.872,10.641,0.294,0.406
ID847,847,2,0.714,243.250,227.564,0,540,18,12.500,1,-10921639,65.491,21,4,255,70272,77.303,9.440,0.327,0.418
ID967,967,2,0.727,243.286,228.119,0,570,19,12.500,1,-10921639,64.917,22,3,255,69656,77.321,9.656,0.370,0.453
ID767,767,2,0.687,243.854,228.036,0,600,20,12.500,1,-10921639,63.191,26,3,255,67804,73.586,9.799,0.396,0.487
ID729,729,2,0.734,243.942,227.980,0,630,21,12.500,1,-10921639,69.550,37,3,255,74627,74.293,11.172,0.453,0.584
ID886,886,2,0.755,243.530,227.305,0,660,22,12.500,1,-10921639,65.668,30,3,255,70462,74.527,10.035,0.435,0.534
ID926,926,2,0.769,242.565,226.451,0,690,23,12.500,1,-10921639,66.586,28,3,255,71447,75.964,10.107,0.453,0.547
ID1084,1084,2,0.745,242.309,226.599,0,720,24,12.500,1,-10921639,67.636,33,3,255,72573,74.060,10.047,0.415,0.536
ID1120,1120,2,0.758,242.665,227.894,0,750,25,12.500,1,-10921639,74.351,47,3,255,79779,72.902,11.502,0.434,0.617
ID1046,1046,2,0.759,243.726,229.385,0,780,26,12.500,1,-10921639,80.993,56,3,255,86906,73.613,8.233,0.446,0.679
ID1238,1238,2,0.872,243.371,231.793,0,810,27,12.500,1,-10921639,95.743,79,4,255,102732,74.012,25.716,0.551,0.919
ID1277,1277,2,1.000,245.354,232.057,0,840,28,12.500,1,-10921639,101.339,88,3,255,108737,72.985,14.943,0.594,1.034
ID1159,1159,2,1.059,245.205,231.664,0,870,29,12.500,1,-10921639,107.033,99,3,255,114846,71.932,15.083,0.628,1.147
ID1198,1198,2,0.982,244.086,229.844,0,900,30,12.500,1,-10921639,102.075,91,3,255,109527,70.570,19.076,0.616,1.103
ID1318,1318,2,0.804,243.165,229.589,0,930,31,12.500,1,-10921639,86.042,65,3,255,92323,74.436,41.599,0.442,0.709
ID1358,1358,2,0.760,241.741,230.307,0,960,32,12.500,1,-10921639,84.650,64,3,255,90829,71.349,8.561,0.439,0.724
