Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID15424,15424,0,3.327,98.571,64.553,0,0,0,7.500,1,-10921639,153.743,155,18,255,63496,86.328,8.027,0.295,0.812
ID15325,15325,0,3.173,98.142,65.953,0,30,1,7.500,1,-10921639,153.591,155,17,255,63433,84.437,11.646,0.293,0.825
ID15277,15277,0,2.857,95.500,59.341,0,60,2,7.500,1,-10921639,118.479,74,18,255,48932,89.567,7.535,0.217,0.472
ID15520,15520,0,2.655,94.125,59.284,0,90,3,7.500,1,-10921639,112.840,61,20,255,46603,90.787,7.383,0.194,0.405
ID15780,15780,0,2.632,96.234,59.482,0,120,4,7.500,1,-10921639,103.189,55,18,255,42617,88.176,7.266,0.195,0.382
ID15373,15373,0,2.774,94.238,60.275,0,150,5,7.500,1,-10921639,123.114,80,17,255,50846,93.415,7.176,0.273,0.565
ID15732,15732,0,2.755,97.722,61.066,0,180,6,7.500,1,-10921639,115.344,76,23,255,47637,87.038,7.416,0.213,0.465
ID15678,15678,0,2.977,98.672,62.305,0,210,7,7.500,1,-10921639,128.482,108,21,255,53063,86.437,7.433,0.277,0.645
ID15570,15570,0,2.657,97.255,64.253,0,240,8,7.500,1,-10921639,122.685,93,21,255,50669,85.753,28.500,0.194,0.464
ID15425,15425,1,2.922,182.672,65.704,0,0,0,7.500,1,-10921639,126.140,127,23,255,52096,69.540,8.248,0.350,0.941
ID15326,15326,1,3.189,180.747,66.659,0,30,1,7.500,1,-10921639,130.862,124,23,255,54046,77.381,8.735,0.353,0.883
ID15280,15280,1,3.441,178.214,68.645,0,60,2,7.500,1,-10921639,132.683,130,25,255,54798,78.659,8.613,0.393,0.951
ID15523,15523,1,3.528,177.624,69.694,0,90,3,7.500,1,-10921639,135.453,134,25,255,55942,74.869,8.755,0.440,1.106
ID15783,15783,1,3.446,177.676,69.135,0,120,4,7.500,1,-10921639,139.576,134,25,255,57645,75.181,11.582,0.399,1.060
ID15376,15376,1,3.240,177.916,69.670,0,150,5,7.500,1,-10921639,134.891,134,23,255,55710,71.924,11.564,0.381,1.036
ID15735,15735,1,2.935,178.696,69.087,0,180,6,7.500,1,-10921639,129.048,127,24,255,53297,73.021,8.230,0.329,0.875
ID15679,15679,1,2.901,179.567,69.375,0,210,7,7.500,1,-10921639,129.893,122,18,255,53646,74.354,7.830,0.324,0.856
ID15571,15571,1,2.854,179.561,69.005,0,240,8,7.500,1,-10921639,123.646,112,22,255,51066,75.338,7.771,0.315,0.786
ID15470,15470,1,2.915,178.555,72.835,0,270,9,7.500,1,-10921639,112.327,99,24,255,46391,74.509,8.646,0.390,0.845
ID15832,15832,1,2.939,178.691,72.594,0,300,10,7.500,1,-10921639,110.540,84,21,255,45653,75.945,8.706,0.385,0.810
ID15622,15622,1,3.064,176.802,71.998,0,330,11,7.500,1,-10921639,111.847,83,21,255,46193,77.839,8.019,0.394,0.812
ID15948,15948,1,3.169,177.312,73.456,0,360,12,7.500,1,-10921639,111.492,82,23,255,46046,78.734,8.391,0.411,0.824
ID16192,16192,1,3.011,176.183,73.828,0,390,13,7.500,1,-10921639,109.630,84,23,255,45277,76.671,8.192,0.408,0.829
ID16068,16068,1,2.986,173.266,74.605,0,420,14,7.500,1,-10921639,108.189,85,23,255,44682,75.061,8.308,0.426,0.862
ID15886,15886,1,2.998,170.896,76.194,0,450,15,7.500,1,-10921639,104.821,76,22,255,43291,74.061,8.059,0.445,0.872
ID16132,16132,1,2.962,171.386,76.960,0,480,16,7.500,1,-10921639,102.431,70,22,255,42304,74.382,7.950,0.443,0.845
ID16007,16007,1,2.934,172.730,78.209,0,510,17,7.500,1,-10921639,102.864,78,22,255,42483,71.165,7.805,0.454,0.902
ID16384,16384,1,2.716,174.120,79.040,0,540,18,7.500,1,-10921639,97.046,73,18,255,40080,68.087,7.812,0.427,0.853
ID16448,16448,1,2.885,174.413,75.537,0,570,19,7.500,1,-10921639,102.816,85,19,255,42463,68.322,8.090,0.475,0.969
ID16256,16256,1,2.877,174.484,75.844,0,600,20,7.500,1,-10921639,104.068,96,20,255,42980,68.072,8.458,0.480,0.992
ID16321,16321,1,2.978,171.427,76.818,0,630,21,7.500,1,-10921639,103.782,92,22,255,42862,69.354,8.580,0.467,0.953
ID16515,16515,1,2.766,167.382,77.783,0,660,22,7.500,1,-10921639,100.383,87,22,255,41458,67.046,8.352,0.464,0.949
ID16578,16578,1,2.640,164.998,78.072,0,690,23,7.500,1,-10921639,102.235,94,22,255,42223,63.175,8.471,0.481,1.051
ID16644,16644,1,2.713,163.262,78.677,0,720,24,7.500,1,-10921639,102.685,97,20,255,42409,62.662,8.601,0.500,1.092
ID17027,17027,1,2.870,161.382,79.023,0,750,25,7.500,1,-10921639,100.944,93,21,255,41690,65.086,7.896,0.509,1.046
ID16836,16836,1,2.866,160.395,82.380,0,780,26,7.500,1,-10921639,97.852,87,19,255,40413,64.205,7.873,0.500,1.016
ID17155,17155,1,2.639,166.395,81.509,0,810,27,7.500,1,-10921639,92.925,85,19,255,38378,61.630,8.088,0.479,0.977
ID16705,16705,1,2.982,170.731,81.236,0,840,28,7.500,1,-10921639,99.128,85,15,255,40940,70.066,8.080,0.501,0.944
ID16963,16963,1,3.231,171.576,80.436,0,870,29,7.500,1,-10921639,103.504,87,19,255,42747,73.362,7.640,0.506,0.947
ID16770,16770,1,3.037,171.413,80.709,0,900,30,7.500,1,-10921639,98.138,79,18,255,40531,72.237,5.053,0.467,0.866
ID16897,16897,1,2.924,171.652,79.891,0,930,31,7.500,1,-10921639,98.751,83,19,255,40784,71.757,7.325,0.441,0.843
ID15426,15426,2,3.573,37.844,68.732,0,0,0,7.500,1,-10921639,131.656,131,18,255,54374,55.075,12.048,0.659,1.900
ID15328,15328,2,3.836,37.031,72.652,0,30,1,7.500,1,-10921639,144.511,142,18,255,59683,56.611,12.347,0.675,2.058
ID15283,15283,2,3.862,35.327,75.077,0,60,2,7.500,1,-10921639,143.346,140,16,255,59202,61.807,12.042,0.654,1.835
ID15526,15526,2,3.900,35.071,76.031,0,90,3,7.500,1,-10921639,151.123,151,13,255,62414,61.666,12.251,0.668,1.962
ID15784,15784,2,3.644,36.678,74.183,0,120,4,7.500,1,-10921639,146.782,147,14,255,60621,54.786,14.640,0.669,2.148
