Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID44480,44480,0,4.376,14.919,272.110,0,0,0,7.500,1,-10921639,130.981,129,6,255,54095,90.184,8.143,0.733,1.229
ID44375,44375,0,4.379,17.357,272.258,0,30,1,7.500,1,-10921639,127.203,125,4,255,52535,93.681,8.486,0.767,1.178
ID44428,44428,0,4.428,17.267,272.364,0,60,2,7.500,1,-10921639,132.671,128,5,255,54793,91.898,8.952,0.783,1.268
ID44682,44682,0,4.250,16.861,273.122,0,90,3,7.500,1,-10921639,126.528,119,4,255,52256,93.478,8.865,0.762,1.171
ID44274,44274,0,4.190,16.154,274.552,0,120,4,7.500,1,-10921639,122.499,107,5,255,50592,92.843,8.829,0.766,1.144
ID44631,44631,0,4.145,15.640,276.424,0,150,5,7.500,1,-10921639,122.056,108,4,255,50409,91.234,8.910,0.763,1.158
ID44328,44328,0,4.207,17.201,280.670,0,180,6,7.500,1,-10921639,125.627,114,3,255,51884,89.319,11.735,0.746,1.202
ID44529,44529,0,4.146,15.030,281.813,0,210,7,7.500,1,-10921639,120.276,111,4,255,49674,87.876,7.741,0.727,1.153
ID44124,44124,0,3.850,15.072,283.820,0,240,8,7.500,1,-10921639,111.172,95,3,255,45914,89.727,11.833,0.766,1.075
ID44578,44578,0,4.046,15.874,282.431,0,270,9,7.500,1,-10921639,119.676,116,2,255,49426,87.278,11.901,0.773,1.196
ID44175,44175,0,3.858,16.078,281.362,0,300,10,7.500,1,-10921639,116.087,101,3,255,47944,92.946,7.903,0.732,1.056
ID44223,44223,0,3.547,14.465,281.149,0,330,11,7.500,1,-10921639,104.259,84,3,255,43059,90.273,7.557,0.705,0.955
ID44834,44834,0,3.462,14.349,281.445,0,360,12,7.500,1,-10921639,94.906,67,3,255,39196,90.548,7.664,0.737,0.889
ID44882,44882,0,3.195,13.752,281.473,0,390,13,7.500,1,-10921639,88.305,52,2,255,36470,87.116,7.453,0.686,0.825
ID44733,44733,0,3.376,12.916,280.655,0,420,14,7.500,1,-10921639,89.472,51,3,255,36952,87.393,7.643,0.645,0.803
ID44784,44784,0,3.599,11.804,284.215,0,450,15,7.500,1,-10921639,93.533,60,4,255,38629,86.266,7.927,0.689,0.885
ID45082,45082,0,3.574,11.630,285.286,0,480,16,7.500,1,-10921639,94.814,56,3,255,39158,87.022,7.963,0.661,0.867
ID44982,44982,0,3.417,12.925,286.191,0,510,17,7.500,1,-10921639,91.877,59,4,255,37945,85.308,7.557,0.680,0.872
ID45033,45033,0,3.048,14.031,286.832,0,540,18,7.500,1,-10921639,86.487,58,4,255,35719,82.273,7.282,0.658,0.835
ID44931,44931,0,3.457,15.788,289.710,0,570,19,7.500,1,-10921639,99.743,68,3,255,41194,89.902,7.380,0.685,0.902
ID45127,45127,0,3.596,15.882,292.145,0,600,20,7.500,1,-10921639,107.508,81,4,255,44401,89.389,7.564,0.699,0.990
ID45172,45172,0,3.654,17.044,296.239,0,630,21,7.500,1,-10921639,98.518,66,5,255,40688,85.799,7.772,0.719,0.960
ID45218,45218,0,3.770,17.712,296.314,0,660,22,7.500,1,-10921639,102.942,70,5,255,42515,87.411,8.579,0.758,1.016
ID45265,45265,0,3.843,18.890,296.523,0,690,23,7.500,1,-10921639,103.843,78,3,255,42887,88.088,8.782,0.775,1.030
ID45313,45313,0,3.824,20.072,296.116,0,720,24,7.500,1,-10921639,101.910,85,4,255,42089,88.589,8.211,0.765,0.997
ID45360,45360,0,3.590,20.930,295.490,0,750,25,7.500,1,-10921639,95.659,67,3,255,39507,89.079,7.858,0.785,0.945
ID45408,45408,0,3.488,21.797,295.353,0,780,26,7.500,1,-10921639,96.111,77,3,255,39694,81.747,7.763,0.801,1.046
ID45458,45458,0,3.686,27.210,296.961,0,810,27,7.500,1,-10921639,91.981,66,4,255,37988,86.321,7.913,0.808,0.952
ID45557,45557,0,3.770,27.717,297.518,0,840,28,7.500,1,-10921639,96.114,67,3,255,39695,88.724,8.132,0.802,0.964
ID45509,45509,0,3.591,28.545,297.258,0,870,29,7.500,1,-10921639,95.881,65,3,255,39599,88.602,8.652,0.775,0.945
ID45611,45611,0,3.517,28.616,298.418,0,900,30,7.500,1,-10921639,97.484,71,3,255,40261,90.486,8.198,0.744,0.919
ID45827,45827,0,3.329,28.269,297.469,0,930,31,7.500,1,-10921639,96.821,68,3,255,39987,90.565,8.199,0.711,0.889
ID45771,45771,0,3.067,27.919,298.181,0,960,32,7.500,1,-10921639,87.760,44,4,255,36245,85.483,8.299,0.667,0.822
ID45664,45664,0,2.638,32.806,298.331,0,990,33,7.500,1,-10921639,86.462,58,3,255,35709,79.013,7.461,0.400,0.625
ID44481,44481,1,4.467,139.941,285.403,0,0,0,7.500,1,-10921639,144.942,134,3,255,59861,102.000,7.959,0.646,1.115
ID44376,44376,1,4.470,141.587,288.293,0,30,1,7.500,1,-10921639,138.765,116,8,255,57310,95.219,8.102,0.635,1.132
ID44429,44429,1,4.421,140.462,288.012,0,60,2,7.500,1,-10921639,148.748,140,5,255,61433,95.153,8.442,0.582,1.150
ID44684,44684,1,4.138,138.617,288.416,0,90,3,7.500,1,-10921639,143.828,141,6,255,59401,101.162,8.244,0.517,0.969
ID44275,44275,1,4.479,136.873,290.413,0,120,4,7.500,1,-10921639,140.063,135,5,255,57846,103.832,8.009,0.641,1.054
ID44632,44632,1,4.591,136.142,291.289,0,150,5,7.500,1,-10921639,139.245,145,6,255,57508,105.088,7.866,0.717,1.106
ID44329,44329,1,4.626,137.324,293.607,0,180,6,7.500,1,-10921639,138.259,135,7,255,57101,103.061,7.851,0.754,1.153
ID44530,44530,1,4.493,138.536,295.248,0,210,7,7.500,1,-10921639,134.472,117,5,255,55537,103.549,7.720,0.737,1.102
ID44125,44125,1,4.364,138.876,296.973,0,240,8,7.500,1,-10921639,130.557,107,4,255,53920,101.316,7.673,0.711,1.071
ID44579,44579,1,4.101,138.012,297.818,0,270,9,7.500,1,-10921639,128.983,97,5,255,53270,97.713,7.795,0.700,1.087
ID44176,44176,1,4.222,137.820,298.435,0,300,10,7.500,1,-10921639,124.625,104,5,255,51470,93.002,7.824,0.720,1.122
ID44224,44224,1,4.112,138.543,299.426,0,330,11,7.500,1,-10921639,121.317,93,6,255,50104,92.377,7.788,0.737,1.114
ID44835,44835,1,4.118,139.088,300.846,0,360,12,7.500,1,-10921639,114.659,92,4,255,47354,89.078,7.630,0.772,1.122
ID44883,44883,1,3.846,139.876,302.292,0,390,13,7.500,1,-10921639,101.772,66,5,255,42032,87.355,7.467,0.788,1.027
ID44734,44734,1,3.772,140.188,302.675,0,420,14,7.500,1,-10921639,97.128,65,5,255,40114,86.048,7.373,0.793,0.998
ID44785,44785,1,4.292,142.209,301.643,0,450,15,7.500,1,-10921639,107.230,75,4,255,44286,91.040,7.898,0.852,1.083
ID45083,45083,1,4.260,146.908,301.924,0,480,16,7.500,1,-10921639,99.913,61,5,255,41264,94.611,7.867,0.852,0.972
ID44983,44983,1,3.891,148.696,302.559,0,510,17,7.500,1,-10921639,87.015,36,5,255,35937,91.558,7.533,0.825,0.859
ID45034,45034,1,1.745,147.440,304.298,0,540,18,7.500,1,-10921639,42.438,22,4,193,17527,44.087,7.422,0.676,0.776
ID44482,44482,2,4.826,54.133,295.600,0,0,0,7.500,1,-10921639,169.780,195,6,255,70119,86.276,11.891,0.703,1.625
ID44377,44377,2,4.474,56.403,296.963,0,30,1,7.500,1,-10921639,171.288,196,7,255,70742,84.791,11.815,0.642,1.580
ID44430,44430,2,4.596,56.481,298.784,0,60,2,7.500,1,-10921639,180.245,211,6,255,74441,82.940,12.087,0.641,1.698
ID44685,44685,2,4.721,56.365,299.130,0,90,3,7.500,1,-10921639,175.959,215,5,255,72671,89.481,12.199,0.671,1.579
ID44276,44276,2,4.471,57.251,298.913,0,120,4,7.500,1,-10921639,170.663,184,4,255,70484,84.917,12.034,0.669,1.612
ID44633,44633,2,4.362,58.918,297.644,0,150,5,7.500,1,-10921639,162.073,181,5,255,66936,93.183,12.023,0.650,1.370
ID44330,44330,2,4.582,60.434,298.318,0,180,6,7.500,1,-10921639,161.821,179,5,255,66832,94.398,11.850,0.686,1.395
ID44531,44531,2,4.665,60.679,299.613,0,210,7,7.500,1,-10921639,168.247,198,6,255,69486,92.559,11.920,0.685,1.478
ID44126,44126,2,4.854,61.380,300.889,0,240,8,7.500,1,-10921639,178.613,211,10,255,73767,84.067,11.941,0.691,1.736
ID44580,44580,2,4.708,63.752,301.334,0,270,9,7.500,1,-10921639,171.927,195,6,255,71006,87.916,11.703,0.647,1.536
ID44177,44177,2,4.927,66.986,301.665,0,300,10,7.500,1,-10921639,189.910,239,6,255,78433,77.508,14.910,0.685,1.992
ID44225,44225,2,5.029,75.889,305.695,0,330,11,7.500,1,-10921639,167.225,177,7,255,69064,84.512,11.855,0.766,1.717
ID44836,44836,2,4.810,80.021,310.243,0,360,12,7.500,1,-10921639,161.780,174,5,255,66815,91.480,12.057,0.741,1.505
ID44884,44884,2,4.601,80.144,312.911,0,390,13,7.500,1,-10921639,151.203,157,4,255,62447,90.509,12.076,0.732,1.412
ID44735,44735,2,4.634,79.064,314.110,0,420,14,7.500,1,-10921639,152.063,153,4,255,62802,89.831,11.931,0.734,1.433
