Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID306,306,0,1.805,212.753,311.519,0,0,0,7.500,1,-10921639,77.208,53,24,239,31887,48.993,5.011,0.355,0.825
ID483,483,0,1.554,213.001,311.281,0,30,1,7.500,1,-10921639,67.920,48,24,187,28051,42.615,4.987,0.315,0.764
ID548,548,0,1.695,212.987,311.867,0,60,2,7.500,1,-10921639,69.327,46,21,222,28632,47.376,4.908,0.325,0.718
ID610,610,0,1.531,212.155,312.831,0,90,3,7.500,1,-10921639,68.528,47,21,189,28302,43.291,4.987,0.301,0.733
ID128,128,0,1.549,211.606,314.135,0,120,4,7.500,1,-10921639,68.475,45,22,222,28280,47.088,4.977,0.293,0.658
ID785,785,0,1.618,211.623,315.370,0,150,5,7.500,1,-10921639,69.477,46,23,213,28694,47.703,4.929,0.309,0.687
ID727,727,0,1.657,212.549,316.189,0,180,6,7.500,1,-10921639,68.661,45,20,227,28357,49.745,4.841,0.321,0.671
ID420,420,0,1.543,214.045,316.715,0,210,7,7.500,1,-10921639,66.852,44,19,227,27610,46.965,4.925,0.309,0.672
ID242,242,1,1.729,196.047,62.967,0,0,0,7.500,1,-10921639,46.298,9,1,255,19121,65.907,4.620,0.473,0.451
ID422,422,1,2.140,181.440,59.623,0,30,1,7.500,1,-10921639,57.625,27,3,252,23799,65.130,4.841,0.570,0.643
ID487,487,1,2.047,183.511,59.663,0,60,2,7.500,1,-10921639,55.651,24,3,255,22984,65.447,4.968,0.501,0.568
ID552,552,1,2.394,184.648,61.383,0,90,3,7.500,1,-10921639,67.291,31,2,255,27791,74.896,4.921,0.476,0.579
ID69,69,1,2.389,187.315,62.132,0,120,4,7.500,1,-10921639,75.431,33,3,255,31153,81.947,4.728,0.437,0.560
