Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID93060,93060,0,5.162,180.468,146.871,0,0,0,7.500,1,-10921639,247.157,255,66,255,102076,29.344,15.029,0.631,6.516
ID92802,92802,0,4.920,184.773,147.100,0,30,1,7.500,1,-10921639,240.354,255,83,255,99266,35.529,14.931,0.582,4.979
ID93125,93125,0,4.589,185.068,145.652,0,60,2,7.500,1,-10921639,217.385,255,44,255,89780,65.729,12.105,0.513,2.244
ID92737,92737,0,4.323,184.960,144.605,0,90,3,7.500,1,-10921639,218.387,255,33,255,90194,67.238,12.012,0.454,2.028
ID92994,92994,0,4.211,184.405,145.140,0,120,4,7.500,1,-10921639,217.588,255,28,255,89864,69.730,12.004,0.433,1.887
ID92545,92545,0,4.221,184.456,147.117,0,150,5,7.500,1,-10921639,220.518,255,35,255,91074,66.960,12.137,0.436,2.001
ID93253,93253,0,4.045,183.480,148.376,0,180,6,7.500,1,-10921639,227.121,255,39,255,93801,58.847,12.292,0.404,2.220
ID92613,92613,0,3.944,181.963,149.478,0,210,7,7.500,1,-10921639,231.291,255,39,255,95523,56.138,12.342,0.391,2.317
ID92678,92678,0,3.819,180.542,150.528,0,240,8,7.500,1,-10921639,232.341,255,50,255,95957,53.925,12.174,0.371,2.333
ID92931,92931,0,3.827,179.541,151.517,0,270,9,7.500,1,-10921639,239.223,255,48,255,98799,43.042,14.815,0.373,3.022
ID92870,92870,0,4.035,179.188,152.740,0,300,10,7.500,1,-10921639,237.676,255,61,255,98160,44.326,14.874,0.414,3.138
ID93196,93196,0,4.389,177.517,153.302,0,330,11,7.500,1,-10921639,239.477,255,31,255,98904,42.037,14.842,0.481,3.700
ID93322,93322,0,4.324,177.141,154.620,0,360,12,7.500,1,-10921639,236.729,255,49,255,97769,42.089,14.729,0.468,3.587
ID93450,93450,0,4.337,177.038,155.675,0,390,13,7.500,1,-10921639,238.966,255,74,255,98693,38.627,14.867,0.467,3.939
ID93390,93390,0,4.332,177.502,156.709,0,420,14,7.500,1,-10921639,234.390,255,44,255,96803,46.924,14.819,0.461,3.153
ID93775,93775,0,4.297,177.364,157.814,0,450,15,7.500,1,-10921639,241.591,255,84,255,99777,32.902,15.169,0.460,4.627
ID93510,93510,0,4.286,177.172,158.976,0,480,16,7.500,1,-10921639,242.215,255,91,255,100035,31.245,15.221,0.459,4.877
ID93671,93671,0,4.377,177.742,158.608,0,510,17,7.500,1,-10921639,242.443,255,82,255,100129,31.795,15.220,0.472,4.893
ID93722,93722,0,4.262,178.008,158.882,0,540,18,7.500,1,-10921639,239.564,255,56,255,98940,36.469,15.250,0.456,4.117
ID93940,93940,0,4.240,178.373,159.101,0,570,19,7.500,1,-10921639,238.446,255,42,255,98478,39.706,15.144,0.448,3.717
ID93617,93617,0,4.401,177.694,159.863,0,600,20,7.500,1,-10921639,242.356,255,57,255,100093,35.349,15.073,0.474,4.410
ID93565,93565,0,4.473,176.747,159.775,0,630,21,7.500,1,-10921639,242.554,255,96,255,100175,31.868,15.081,0.492,5.023
ID93831,93831,0,4.501,176.513,159.567,0,660,22,7.500,1,-10921639,241.787,255,61,255,99858,35.685,15.058,0.497,4.500
ID93890,93890,0,4.489,176.479,159.734,0,690,23,7.500,1,-10921639,240.012,255,37,255,99125,37.919,15.060,0.498,4.211
ID93995,93995,0,4.477,177.292,159.925,0,720,24,7.500,1,-10921639,239.676,255,32,255,98986,36.689,15.067,0.506,4.390
ID94219,94219,0,4.643,177.195,159.388,0,750,25,7.500,1,-10921639,238.748,255,49,255,98603,38.322,15.175,0.532,4.328
ID94053,94053,0,4.612,177.264,158.995,0,780,26,7.500,1,-10921639,236.818,255,44,255,97806,38.042,15.111,0.535,4.337
ID94160,94160,0,4.597,176.965,158.378,0,810,27,7.500,1,-10921639,233.775,255,30,255,96549,45.462,15.085,0.530,3.564
ID94330,94330,0,4.605,176.853,157.942,0,840,28,7.500,1,-10921639,232.182,255,34,255,95891,47.615,15.072,0.530,3.380
ID94108,94108,0,4.568,175.831,157.883,0,870,29,7.500,1,-10921639,232.845,255,38,255,96165,44.883,15.087,0.522,3.561
ID94444,94444,0,4.509,175.406,157.419,0,900,30,7.500,1,-10921639,228.605,255,28,255,94414,54.028,15.068,0.513,2.868
ID94277,94277,0,4.541,175.133,157.186,0,930,31,7.500,1,-10921639,233.179,255,37,255,96303,45.311,15.069,0.527,3.554
ID94607,94607,0,4.566,175.084,157.073,0,960,32,7.500,1,-10921639,232.354,255,41,255,95962,46.491,15.080,0.530,3.463
ID94387,94387,0,4.600,175.332,156.215,0,990,33,7.500,1,-10921639,231.864,255,32,255,95760,47.911,15.065,0.532,3.360
ID94551,94551,0,4.538,175.137,155.258,0,1020,34,7.500,1,-10921639,228.584,255,37,255,94405,50.939,15.047,0.527,3.098
ID94498,94498,0,4.557,175.667,154.780,0,1050,35,7.500,1,-10921639,229.073,255,41,255,94607,49.748,15.135,0.537,3.216
ID94661,94661,0,4.514,175.573,154.538,0,1080,36,7.500,1,-10921639,228.104,255,36,255,94207,49.818,15.079,0.526,3.157
ID94931,94931,0,4.455,174.886,154.098,0,1110,37,7.500,1,-10921639,226.964,255,50,255,93736,51.117,15.134,0.525,3.056
