Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID83253,83253,0,3.124,94.384,111.822,0,0,0,7.500,1,-10921639,81.046,66,4,255,33472,69.376,4.828,0.790,1.031
ID83118,83118,0,3.465,94.402,114.263,0,30,1,7.500,1,-10921639,88.760,73,2,255,36658,75.662,7.721,0.812,1.051
ID83355,83355,0,3.660,94.405,116.266,0,60,2,7.500,1,-10921639,94.644,79,3,255,39088,78.874,7.751,0.814,1.077
ID83289,83289,0,3.765,93.561,117.636,0,90,3,7.500,1,-10921639,97.760,75,3,255,40375,79.779,8.123,0.814,1.100
ID83052,83052,0,3.742,93.051,117.430,0,120,4,7.500,1,-10921639,97.671,78,3,255,40338,80.919,8.063,0.790,1.065
ID83184,83184,0,3.642,93.083,117.166,0,150,5,7.500,1,-10921639,101.031,86,4,255,41726,76.383,7.929,0.797,1.173
ID83219,83219,0,3.574,92.908,116.638,0,180,6,7.500,1,-10921639,96.259,84,3,255,39755,78.697,7.835,0.761,1.057
ID83151,83151,0,3.638,92.895,116.213,0,210,7,7.500,1,-10921639,101.291,92,4,255,41833,77.050,7.795,0.779,1.151
ID83324,83324,0,3.645,92.386,115.949,0,240,8,7.500,1,-10921639,102.552,91,3,255,42354,75.437,8.043,0.799,1.207
ID83085,83085,0,3.602,91.670,114.561,0,270,9,7.500,1,-10921639,99.983,92,4,255,41293,74.816,7.794,0.781,1.172
ID83388,83388,0,3.611,91.054,113.414,0,300,10,7.500,1,-10921639,101.591,88,4,255,41957,74.440,8.073,0.796,1.210
ID83420,83420,0,3.614,90.836,112.274,0,330,11,7.500,1,-10921639,100.569,90,4,255,41535,74.809,7.902,0.790,1.186
ID83670,83670,0,3.649,90.845,112.187,0,360,12,7.500,1,-10921639,101.458,89,4,255,41902,75.495,7.854,0.792,1.188
ID83482,83482,0,3.591,90.820,112.029,0,390,13,7.500,1,-10921639,101.998,94,4,255,42125,73.822,7.975,0.788,1.218
ID83514,83514,0,3.723,91.006,111.813,0,420,14,7.500,1,-10921639,109.605,101,6,255,45267,73.212,11.739,0.807,1.338
ID83450,83450,0,3.669,90.952,111.518,0,450,15,7.500,1,-10921639,105.479,96,3,255,43563,74.693,7.735,0.788,1.245
ID83546,83546,0,3.800,91.004,111.492,0,480,16,7.500,1,-10921639,113.559,105,7,255,46900,71.981,11.949,0.826,1.427
ID83577,83577,0,3.804,91.408,111.624,0,510,17,7.500,1,-10921639,112.383,104,5,255,46414,72.670,8.053,0.826,1.399
ID83639,83639,0,3.810,91.107,111.658,0,540,18,7.500,1,-10921639,114.671,106,7,255,47359,71.622,11.862,0.814,1.437
ID83733,83733,0,3.684,91.410,111.250,0,570,19,7.500,1,-10921639,109.247,106,5,255,45119,69.766,11.927,0.823,1.413
