Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID248,248,0,4.489,0.000,320.344,0,90,3,7.500,1,-10921639,120.683,100,0,255,49842,98.500,8.134,0.660,0.974
ID119,119,0,4.807,0.000,319.652,0,120,4,7.500,1,-10921639,132.787,134,0,255,54841,99.683,11.667,0.681,1.079
ID836,836,0,4.770,0.000,319.652,0,150,5,7.500,1,-10921639,129.709,125,0,255,53570,100.267,11.639,0.680,1.048
ID378,378,0,4.831,0.000,319.652,0,180,6,7.500,1,-10921639,133.102,132,0,255,54971,98.509,11.790,0.688,1.101
ID774,774,0,4.881,0.000,319.652,0,210,7,7.500,1,-10921639,134.061,136,0,255,55367,99.913,11.645,0.676,1.083
ID449,449,0,5.011,0.000,318.960,0,240,8,7.500,1,-10921639,143.177,165,0,255,59132,101.818,11.800,0.690,1.148
ID517,517,0,5.008,0.000,318.269,0,270,9,7.500,1,-10921639,152.184,171,0,255,62852,102.535,11.902,0.679,1.201
ID644,644,0,4.817,0.000,317.577,0,300,10,7.500,1,-10921639,153.985,178,0,255,63596,101.331,12.084,0.652,1.199
ID580,580,0,4.573,0.000,317.577,0,330,11,7.500,1,-10921639,151.046,175,0,255,62382,101.775,11.885,0.609,1.123
ID898,898,0,4.139,0.000,317.577,0,360,12,7.500,1,-10921639,147.046,171,0,255,60730,97.462,12.043,0.571,1.097
ID959,959,0,3.814,4.168,317.352,0,390,13,7.500,1,-10921639,179.220,198,33,255,74018,72.430,11.998,0.649,1.947
ID1556,1556,0,3.640,5.850,316.911,0,420,14,7.500,1,-10921639,171.545,184,28,255,70848,74.907,11.708,0.590,1.699
ID1620,1620,0,3.673,6.403,316.109,0,450,15,7.500,1,-10921639,167.092,181,34,255,69009,76.741,11.457,0.570,1.581
ID1023,1023,0,3.613,7.350,315.462,0,480,16,7.500,1,-10921639,158.581,167,28,255,65494,80.405,8.642,0.499,1.313
ID1430,1430,0,3.516,8.548,315.828,0,510,17,7.500,1,-10921639,158.993,167,31,255,65664,77.217,23.956,0.454,1.286
ID1525,1525,0,3.430,9.110,316.192,0,540,18,7.500,1,-10921639,151.630,150,31,255,62623,76.608,8.353,0.416,1.162
