Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID21751,21751,0,1.061,59.883,200.068,0,0,0,12.500,1,-10921639,118.917,108,13,255,127598,80.822,14.718,0.450,0.913
ID21792,21792,0,1.052,60.233,200.664,0,30,1,12.500,1,-10921639,121.368,115,12,255,130228,81.610,14.690,0.398,0.846
ID21727,21727,0,1.053,59.851,201.196,0,60,2,12.500,1,-10921639,122.510,111,11,255,131453,83.762,14.835,0.381,0.807
ID21658,21658,0,1.054,59.562,201.468,0,90,3,12.500,1,-10921639,122.888,114,12,255,131859,84.259,14.620,0.371,0.789
ID21642,21642,0,1.018,60.824,203.112,0,120,4,12.500,1,-10921639,125.794,120,12,255,134977,82.096,15.158,0.358,0.808
ID21713,21713,0,1.005,63.022,204.650,0,150,5,12.500,1,-10921639,125.194,117,9,255,134333,82.118,16.143,0.376,0.833
ID21673,21673,0,0.947,66.549,215.740,0,180,6,12.500,1,-10921639,138.927,135,8,255,149069,70.577,42.368,0.361,1.044
ID21698,21698,0,0.872,67.686,217.594,0,210,7,12.500,1,-10921639,137.002,134,10,255,147003,67.379,47.500,0.361,1.079
ID21767,21767,0,0.848,68.349,215.436,0,240,8,12.500,1,-10921639,134.856,136,10,255,144701,63.643,41.435,0.385,1.178
ID21684,21684,0,0.884,65.398,209.780,0,270,9,12.500,1,-10921639,125.043,124,6,255,134171,77.874,15.574,0.343,0.820
ID21778,21778,0,0.870,64.372,209.343,0,300,10,12.500,1,-10921639,124.622,121,9,255,133719,76.300,47.500,0.334,0.818
ID21738,21738,0,0.891,62.952,208.243,0,330,11,12.500,1,-10921639,117.741,113,7,255,126336,76.508,35.202,0.333,0.770
ID21847,21847,0,0.827,62.017,207.983,0,360,12,12.500,1,-10921639,113.183,103,11,255,121445,74.897,47.500,0.306,0.708
ID21836,21836,0,0.805,62.957,208.970,0,390,13,12.500,1,-10921639,113.566,104,8,255,121856,73.836,34.492,0.308,0.724
ID21815,21815,0,0.794,62.110,208.662,0,420,14,12.500,1,-10921639,111.166,97,8,255,119281,72.120,34.181,0.297,0.706
ID21804,21804,0,0.813,62.132,209.423,0,450,15,12.500,1,-10921639,111.233,100,10,255,119353,71.226,34.663,0.307,0.733
ID21877,21877,0,0.817,59.893,208.430,0,480,16,12.500,1,-10921639,106.645,93,8,255,114430,72.095,10.340,0.314,0.706
ID21825,21825,0,0.866,59.760,208.617,0,510,17,12.500,1,-10921639,112.633,100,9,255,120855,71.678,14.550,0.338,0.794
ID21899,21899,0,0.893,60.202,208.718,0,540,18,12.500,1,-10921639,117.303,104,15,255,125866,69.421,15.022,0.346,0.868
ID21857,21857,0,0.909,61.050,208.648,0,570,19,12.500,1,-10921639,119.521,108,17,255,128246,68.756,15.025,0.348,0.897
ID21888,21888,0,0.923,61.414,208.341,0,600,20,12.500,1,-10921639,119.778,108,13,255,128522,67.076,15.275,0.369,0.962
ID21866,21866,0,0.961,61.490,208.498,0,630,21,12.500,1,-10921639,121.228,109,18,255,130078,67.982,15.002,0.382,0.987
ID21908,21908,0,0.968,61.716,208.736,0,660,22,12.500,1,-10921639,125.143,119,11,255,134278,67.574,15.750,0.388,1.035
ID21919,21919,0,0.954,61.853,209.385,0,690,23,12.500,1,-10921639,126.323,124,12,255,135545,69.242,15.717,0.377,0.999
ID21930,21930,0,0.925,62.826,210.268,0,720,24,12.500,1,-10921639,126.370,122,11,255,135595,67.895,20.174,0.365,0.996
ID21960,21960,0,0.889,63.546,211.289,0,750,25,12.500,1,-10921639,124.895,117,13,255,134012,67.842,15.216,0.342,0.939
ID21949,21949,0,0.872,63.475,211.669,0,780,26,12.500,1,-10921639,124.163,114,12,255,133227,68.134,47.500,0.327,0.899
ID21939,21939,0,0.906,62.943,212.660,0,810,27,12.500,1,-10921639,127.155,121,10,255,136437,68.795,47.500,0.336,0.930
ID21981,21981,0,0.888,62.123,213.843,0,840,28,12.500,1,-10921639,127.596,121,15,255,136910,67.554,47.500,0.328,0.934
ID22037,22037,0,0.897,61.225,214.485,0,870,29,12.500,1,-10921639,134.376,127,14,255,144185,65.350,47.500,0.367,1.105
ID21993,21993,0,0.838,61.490,214.329,0,900,30,12.500,1,-10921639,127.768,118,13,255,137095,66.767,47.500,0.332,0.955
ID21972,21972,0,0.869,60.824,215.893,0,930,31,12.500,1,-10921639,127.322,117,14,255,136617,66.644,47.500,0.367,1.025
ID22015,22015,0,0.930,60.843,216.843,0,960,32,12.500,1,-10921639,128.954,118,13,255,138368,66.913,19.564,0.406,1.113
ID22005,22005,0,0.941,60.184,216.282,0,990,33,12.500,1,-10921639,131.189,120,19,255,140766,62.355,20.396,0.461,1.327
ID22028,22028,0,0.914,59.508,215.318,0,1020,34,12.500,1,-10921639,131.138,124,17,255,140711,62.121,20.473,0.440,1.291
ID22048,22048,0,0.878,59.045,214.655,0,1050,35,12.500,1,-10921639,128.574,118,16,255,137960,63.691,20.656,0.435,1.223
ID22094,22094,0,0.869,59.366,214.039,0,1080,36,12.500,1,-10921639,123.336,113,12,255,132340,64.660,19.900,0.420,1.129
ID22060,22060,0,0.881,59.197,213.514,0,1110,37,12.500,1,-10921639,123.236,112,11,255,132232,63.527,20.090,0.419,1.146
ID22129,22129,0,0.904,58.556,213.354,0,1140,38,12.500,1,-10921639,125.054,116,11,255,134183,64.424,19.851,0.437,1.180
ID22072,22072,0,0.887,58.787,212.436,0,1170,39,12.500,1,-10921639,122.102,111,12,255,131015,63.924,19.880,0.438,1.164
ID22083,22083,0,0.823,59.402,211.148,0,1200,40,12.500,1,-10921639,112.235,98,9,255,120428,67.252,18.835,0.383,0.924
ID22162,22162,0,0.746,59.246,210.922,0,1230,41,12.500,1,-10921639,103.947,86,9,255,111535,66.189,44.438,0.349,0.813
ID22139,22139,0,0.778,58.393,211.396,0,1260,42,12.500,1,-10921639,108.802,96,10,255,116745,64.067,19.335,0.388,0.949
ID22107,22107,0,0.742,57.868,210.425,0,1290,43,12.500,1,-10921639,102.584,89,10,255,110073,63.845,44.904,0.341,0.817
ID22118,22118,0,0.711,58.451,210.019,0,1320,44,12.500,1,-10921639,102.679,91,10,255,110175,62.446,47.500,0.342,0.839
ID22173,22173,0,0.646,59.192,211.081,0,1350,45,12.500,1,-10921639,100.196,91,8,255,107510,60.720,47.500,0.303,0.767
ID22150,22150,0,0.530,59.993,211.389,0,1380,46,12.500,1,-10921639,95.770,83,7,255,102761,60.110,19.839,0.268,0.673
